UNIQUE_CARRIER_NAME,YEAR,QUARTER,Overall - OP_EXPENSES,Overall - OP_PROFIT_LOSS,Overall - OP_REVENUES,Rev - CHARTER_PAX,Rev - CHARTER_PROP,Rev - MAIL,Rev - MISC_OP_REV,Rev - PROP_BAG,Rev - PROP_FREIGHT,Rev - PUB_SVC_REVENUE,Rev - RES_CANCEL_FEES,Rev - TOTAL_CHARTER,Rev - TOTAL_MISC_REV,Rev - TOTAL_PROPERTY,Rev - TRANS_REVENUE,Rev - TRANS_REV_PAX,Exp - AIRCFT_SERVICES,Exp - FLYING_OPS,Exp - GENERAL_ADMIN,Exp - GENERAL_SERVICES,Exp - MAINTENANCE,Exp - PAX_SERVICE,Exp - PROMOTION_SALES,Exp - TRANS_EXPENSES
            United Air Lines Inc.            ,2004-01-01T00:00:00Z,4,3119165,-576973,2542192,5636,NA,17397,9174,5250,30557,NA,63151,5636,72325,35807,608633,1802394,443406,807386,177480,NA,316010,218674,243040,784151
            United Air Lines Inc.            ,2004-01-01T00:00:00Z,1,2716840,-294458,2422382,2022,NA,12572,14506,5731,22356,NA,66182,2022,80688,28087,459052,1839961,433570,691473,139881,NA,355393,223920,232938,492643
            United Air Lines Inc.            ,2008-01-01T00:00:00Z,4,3348357,-419879,2928478,13033,NA,9409,5906,52213,37465,NA,76316,13033,82222,89678,872727,1861409,373597,1272790,179892,NA,291544,162387,162819,783634
            United Air Lines Inc.            ,2002-01-01T00:00:00Z,3,2860947,-518677,2342270,2362,NA,16635,18435,3408,36026,NA,60606,2362,79041,39434,219102,1985696,553579,876752,127048,NA,396716,313793,243854,198169
           American Airlines Inc.            ,2002-01-01T00:00:00Z,4,3294840,-599438,2695402,4762,NA,15082,13417,9725,33758,NA,NA,4762,13417,43483,142330,2476328,607409,1065969,170498,NA,557539,411693,246361,24831
            Delta Air Lines Inc.             ,2008-01-01T00:00:00Z,2,3455476,207362,3662838,15849,NA,NA,170429,40799,42073,NA,448,15849,170877,82872,1314528,2078712,405357,1066053,144281,NA,208107,210899,215618,1031945
            United Air Lines Inc.            ,2014-01-01T00:00:00Z,1,5317432.38,-311845.84,5005586.53,36901.95,0,17610.94,8623.65,73809.99,31420.69,0,94920.25,NA,NA,NA,1863021.3,2879277.77,770489.46,1561828.22,231853.92,NA,428432.32,247312.81,197658.06,1681792.83
            Delta Air Lines Inc.             ,2004-01-01T00:00:00Z,3,3460734,-398986,3061748,25911,NA,9710,109169,14182,48567,NA,228,25911,109397,62749,812038,2041943,467306,1056676,183259,NA,253545,285341,234172,772396
            United Air Lines Inc.            ,2008-01-01T00:00:00Z,2,1006502,-29406,977096,NA,NA,11979,2897,3677,87413,NA,98,NA,2995,91090,47214,823818,82420,525128,90947,NA,85432,97073,61523,11309
            Delta Air Lines Inc.             ,2001-01-01T00:00:00Z,4,2557849,-404991,2152858,NA,NA,14984,58954,7163,42030,NA,NA,NA,58954,49193,102801,1926926,506206,730516,144963,NA,260873,309160,295207,94707
           American Airlines Inc.            ,2008-01-01T00:00:00Z,3,4121300,-424046,3697254,3367,NA,17474,12450,55381,45248,NA,74938,3367,87388,100629,578811,2909585,577324,1885381,215705,NA,354364,265645,228879,460258
         Federal Express Corporation         ,2017-01-01T00:00:00Z,3,2423006,-669064,1753942,NA,2214,70,5504,NA,435969,NA,NA,NA,NA,NA,1310185,NA,250501,152073,121695,NA,74084,NA,33571,1749364
           American Airlines Inc.            ,2001-01-01T00:00:00Z,2,3731800,-739529,2992271,4303,NA,28757,20040,4690,41699,NA,NA,4303,20040,46389,161793,2730989,538300,957502,796945,NA,439129,356940,396875,52920
            United Air Lines Inc.            ,2008-01-01T00:00:00Z,3,3901451,-327191,3574260,4739,NA,10006,8221,34073,42619,NA,96243,4739,104464,76692,995519,2382840,363903,1614502,154400,NA,330361,181805,184110,930500
            Delta Air Lines Inc.             ,2006-01-01T00:00:00Z,2,844144,-8244,835900,NA,NA,5716,-12994,580,54714,NA,1216,NA,-11778,55294,49177,737491,89218,363631,39377,NA,60415,46712,57079,124628
            Delta Air Lines Inc.             ,2008-01-01T00:00:00Z,4,3135832,109781,3245613,24951,NA,NA,173179,58634,35499,NA,453,24951,173632,94133,1125334,1827563,385801,1028022,132632,NA,153400,203138,157786,913690
           American Airlines Inc.            ,2005-01-01T00:00:00Z,4,3668132,-329871,3338261,5378,NA,14463,14245,16901,33288,NA,NA,5378,14245,50189,570007,2683979,560629,1366440,308518,NA,349302,283360,254682,390205
           American Airlines Inc.            ,2011-01-01T00:00:00Z,1,3515245,-334120,3181125,1522,0,8043,10033,80506,29722,0,72392,NA,NA,NA,555050,2423857,549317,1388864,256125,NA,339214,254476,225152,375660
            United Air Lines Inc.            ,2008-01-01T00:00:00Z,2,797811,35441,833252,7050,NA,9903,1259,2852,64426,NA,141,7050,1400,67278,37969,709652,95065,380275,74704,NA,78614,78571,43494,8197
            United Air Lines Inc.            ,2008-01-01T00:00:00Z,1,3353366,-388493,2964873,2779,NA,7994,6320,5847,39553,NA,78799,2779,85119,45400,853676,1969905,390444,1101897,152654,NA,402608,144870,215093,821203
            Delta Air Lines Inc.             ,2003-01-01T00:00:00Z,1,3211500,-413391,2798109,53546,NA,17926,91470,9604,44291,NA,246,53546,91716,53895,163093,2417933,512423,899643,227546,NA,235930,294358,234383,591470
           American Airlines Inc.            ,2004-01-01T00:00:00Z,1,3285574,-251697,3033877,3161,NA,13961,14545,10841,35750,NA,NA,3161,14545,46591,439509,2516110,590009,1030368,216182,NA,331915,331101,284880,304997
            United Air Lines Inc.            ,2012-01-01T00:00:00Z,4,5391445.7,-329283.98,5062161.72,38195.12,0,18188.58,5291.22,71139.75,45013.29,0,80718.14,NA,NA,NA,1888736.58,2914879.04,631991.88,1606710.31,422402.09,NA,453689.4,279626.46,189106.92,1608275.52
           American Airlines Inc.            ,2002-01-01T00:00:00Z,2,3483881,-543015,2940866,3939,NA,18874,11651,6468,35553,NA,NA,3939,11651,42021,148252,2716129,625373,1112234,163397,NA,584083,453439,314708,27312
            United Air Lines Inc.            ,2003-01-01T00:00:00Z,4,2580619,-211596,2369023,5914,NA,23012,14980,6159,21103,NA,59018,5914,73998,27262,404322,1834515,466049,642339,112495,NA,338172,221208,241661,424910
           American Airlines Inc.            ,2001-01-01T00:00:00Z,4,2731005,-596750,2134255,3743,NA,15633,6965,5108,32052,NA,NA,3743,6965,37160,136249,1934505,523613,777590,138780,NA,428508,335712,290922,29344
           American Airlines Inc.            ,2004-01-01T00:00:00Z,4,3343699,-410329,2933370,4067,NA,19626,15031,12031,34243,NA,NA,4067,15031,46274,466963,2381409,531022,1192028,195085,NA,329822,321484,239954,344636
