UNIQUE_CARRIER_NAME,YEAR,QUARTER,Overall - OP_EXPENSES,Overall - OP_PROFIT_LOSS,Overall - OP_REVENUES,Rev - CHARTER_PAX,Rev - CHARTER_PROP,Rev - MAIL,Rev - MISC_OP_REV,Rev - PROP_BAG,Rev - PROP_FREIGHT,Rev - PUB_SVC_REVENUE,Rev - RES_CANCEL_FEES,Rev - TOTAL_CHARTER,Rev - TOTAL_MISC_REV,Rev - TOTAL_PROPERTY,Rev - TRANS_REVENUE,Rev - TRANS_REV_PAX,Exp - AIRCFT_SERVICES,Exp - FLYING_OPS,Exp - GENERAL_ADMIN,Exp - GENERAL_SERVICES,Exp - MAINTENANCE,Exp - PAX_SERVICE,Exp - PROMOTION_SALES,Exp - TRANS_EXPENSES
            United Air Lines Inc.            ,2009-01-01T00:00:00Z,2,2579069,112752,2691821,1775,NA,6795,5945,61898,22649,NA,79671,1775,85616,84547,874881,1638207,356561,589241,159396,NA,306986,148128,151480,746498
            Alaska Airlines Inc.             ,2010-01-01T00:00:00Z,2,693800,134634,828434,1855,121,8018,8182,23816,18539,2170,11928,1976,20110,42355,131669,622136,96568,268067,51187,NA,62899,51883,44238,74474
           American Airlines Inc.            ,2010-01-01T00:00:00Z,2,3267762,142492,3410254,1654,NA,7714,11774,93154,34174,NA,74114,1654,85888,127328,568316,2619354,516322,1253485,218401,NA,371762,236466,212727,337857
            Delta Air Lines Inc.             ,2010-01-01T00:00:00Z,2,4633384,777737,5411121,45843,NA,54,161091,255918,49072,NA,117235,45843,278326,304990,1701041,3080867,725456,1425049,210440,NA,373178,361596,349850,957143
         Federal Express Corporation         ,2010-01-01T00:00:00Z,2,3507464,137847,3645311,NA,3927,306,8761,NA,1884562,NA,NA,3927,8761,1884562,1747755,NA,268834,716451,290769,NA,395215,NA,13496,1685970
               JetBlue Airways               ,2010-01-01T00:00:00Z,2,732874.4,73704.31,806578.71,367.18,NA,1581.72,3251.56,12143.9,2028.99,NA,25978.37,367.18,29229.93,14172.89,33160.03,728066.96,134227.72,345168.18,43485.52,NA,60271.44,38648.96,57620.35,7551.17
           Southwest Airlines Co.            ,2010-01-01T00:00:00Z,2,2805548,362769,3168317,6969,NA,NA,193744,7923,32843,NA,NA,6969,193744,40766,5029,2921809,467714,1360221,138753,NA,298715,203607,179307,2250
            United Air Lines Inc.            ,2010-01-01T00:00:00Z,2,3034135,228462,3262597,1875,NA,8271,6787,74821,32996,NA,83342,1875,90129,107817,1158253,1896252,346197,843761,161785,NA,316405,149392,159000,946474
            Alaska Airlines Inc.             ,2011-01-01T00:00:00Z,2,916259,130595,1046853,1230,114,6502,23419,37250,21640,2404,1720,NA,NA,NA,231932,720643,102526,372228,48554,NA,59092,56355,50461,179940
           American Airlines Inc.            ,2011-01-01T00:00:00Z,2,3472725,102296,3575021,488,0,6729,12385,93219,33585,0,75568,NA,NA,NA,633660,2719387,527252,1451602,203943,NA,350511,236961,214819,372155
            Delta Air Lines Inc.             ,2011-01-01T00:00:00Z,2,5147955,813015,5960970,74980,0,4324,163763,226291,56198,0,127254,NA,NA,NA,1871901,3436259,780707,1725210,92445,NA,430224,386068,390390,1110969
         Federal Express Corporation         ,2011-01-01T00:00:00Z,2,3842264,609408,4451672,NA,2499,393,7929,NA,2373074,NA,NA,NA,NA,NA,2067775,NA,290262,887263,325650,NA,391761,NA,14424,1789229
               JetBlue Airways               ,2011-01-01T00:00:00Z,2,927285.88,37595.42,964881.29,258.47,0,914.41,4188.75,13373.58,2014.05,0,25906.63,NA,NA,NA,42623.75,875601.67,150063.22,498836.6,39245.98,NA,72406.75,44023.98,63913.17,9245.7
           Southwest Airlines Co.            ,2011-01-01T00:00:00Z,2,3400693,195176,3595869,4829,0,0,215059,8482,35704,0,0,NA,NA,NA,5803,3325992,512031,1759759,213123,NA,309261,222655,214697,2080
              Spirit Air Lines               ,2011-01-01T00:00:00Z,2,200937.42,29145.92,230083.34,0,0,0,34360.09,28722.6,0,0,5289.26,NA,NA,NA,1735.18,159976.2,26152.83,133628.03,10259.2,0,9636.56,8462.22,11735.17,0
            United Air Lines Inc.            ,2011-01-01T00:00:00Z,2,3245578.81,192443.89,3438022.7,1946.02,0,7817.55,7144.18,61787.6,42330.4,0,79436.47,NA,NA,NA,1306660.11,1930900.37,349986.7,902373.49,172379.66,NA,337444.65,153871.16,167259.98,1050597.07
            Alaska Airlines Inc.             ,2012-01-01T00:00:00Z,2,963096,186218,1149313,2053,132,7635,25013,35837,21383,2522,5751,NA,NA,NA,244005,804982,115449,386586,60465,NA,61973,61975,50105,176087
            Delta Air Lines Inc.             ,2012-01-01T00:00:00Z,2,5676286,696688,6372974,61280,0,8051,277289,231351,57119,0,128206,NA,NA,NA,1989782,3619896,791792,2079604,251688,NA,444154,391225,388230,1082491
         Federal Express Corporation         ,2012-01-01T00:00:00Z,2,3814602,945730,4760332,NA,610,181,9245,NA,2512867,NA,NA,NA,NA,NA,2237429,NA,298858,856446,329218,NA,361527,NA,15180,1797322
               JetBlue Airways               ,2012-01-01T00:00:00Z,2,993522.65,81279.16,1074801.81,326.12,0,149.95,4747.17,14309.22,2419.55,0,27899.78,NA,NA,NA,38465.88,986484.15,164614.98,510510.41,41557.86,NA,101829.58,48706.97,64955.14,8013.61
           Southwest Airlines Co.            ,2012-01-01T00:00:00Z,2,4119964,455653,4575617,9435,0,0,310355,50082,41502,0,11339,NA,NA,NA,8506,4144398,604519,2151286,252605,NA,425901,263761,219148,2533
              Spirit Air Lines               ,2012-01-01T00:00:00Z,2,250702.32,47469,298171.32,0,0,0,59147.82,37915.02,0,0,5896.07,NA,NA,NA,2074.28,193138.13,35153.53,159106.06,14394.44,0,16126.03,10406.79,14208.31,0
            United Air Lines Inc.            ,2012-01-01T00:00:00Z,2,5488604.43,253943.24,5742547.67,30759.01,0,17377.44,9181.78,85778.47,53565.75,0,88358.89,NA,NA,NA,2047613.44,3409912.89,675104.76,1728194.28,311061.45,NA,435362.67,277620.07,200222.12,1665550.23
            Alaska Airlines Inc.             ,2013-01-01T00:00:00Z,2,1006196,184009,1190205,2190,153,7166,27378,22600,21113,2516,20710,NA,NA,NA,249030,837349,121407,389000,57738,NA,72841,64355,55702,192811
           American Airlines Inc.            ,2013-01-01T00:00:00Z,2,3447340,250506,3697846,654,0,1126,11048,77523,35835,0,78590,NA,NA,NA,640061,2853009,461711,1465183,212436,NA,331042,235282,207753,434448
            Delta Air Lines Inc.             ,2013-01-01T00:00:00Z,2,5783607,567539,6351146,42230,0,9957,284040,217072,56095,0,136452,NA,NA,NA,1820000,3785300,840535,1799503,175798,NA,454487,411527,387187,1438828
         Federal Express Corporation         ,2013-01-01T00:00:00Z,2,3964428,884644,4849072,NA,305,128,10433,NA,2556680,NA,NA,NA,NA,NA,2281527,NA,318891,823778,430926,NA,324244,NA,12475,1869433
               JetBlue Airways               ,2013-01-01T00:00:00Z,2,1061265.24,34456.89,1095722.13,657.34,0,0,4988.97,14710.91,3378,0,28603.7,NA,NA,NA,40822.09,1002561.12,180148.48,535823.48,37171.58,NA,122809.91,51552.43,66000.85,8336.91
           Southwest Airlines Co.            ,2013-01-01T00:00:00Z,2,4158186,427427,4585613,10842,0,0,145393,41979,42515,0,7005,NA,NA,NA,11693,4326186,665707,2079227,263891,NA,417806,283406,228279,8658
              Spirit Air Lines               ,2013-01-01T00:00:00Z,2,299711.89,58746.3,358458.19,0,0,0,77284.52,47078.81,0,0,6878.51,NA,NA,NA,2432.72,224783.64,19131.44,183873.95,43539.92,0,18664.59,12606.44,15204.06,0
            United Air Lines Inc.            ,2013-01-01T00:00:00Z,2,5345009.4,419913.48,5764922.87,34533.08,0,13905.19,7867.81,77313.03,38619.47,0,99538.23,NA,NA,NA,2218594.51,3274551.56,638996.44,1610390.97,288487.38,NA,457879.96,284457.33,177388.44,1673810.72
            Alaska Airlines Inc.             ,2014-01-01T00:00:00Z,2,1057034,249585,1306619,2382,150,7274,31381,28557,22677,2612,22441,NA,NA,NA,274616,914529,119938,410663,75924,NA,67194,66085,61238,199545
           American Airlines Inc.            ,2014-01-01T00:00:00Z,2,3663229,489262,4152491,534,0,1669,10716,86954,32423,0,84079,NA,NA,NA,776889,3159227,459843,1498685,344358,NA,354282,228529,217795,454974
            Delta Air Lines Inc.             ,2014-01-01T00:00:00Z,2,6008078,1044685,7052763,60830,0,9636,330593,227066,55004,0,145882,NA,NA,NA,1826946,4396806,871660,1838681,369072,NA,450880,434364,417312,1326282
         Federal Express Corporation         ,2014-01-01T00:00:00Z,2,3894239,1041095,4935334,NA,550,100,12588,NA,2668672,NA,NA,NA,NA,NA,2253425,NA,320808,859291,331681,NA,393685,NA,11588,1782256
               JetBlue Airways               ,2014-01-01T00:00:00Z,2,1130328.72,83197.58,1213526.3,0,0,0,5663.88,15905.71,3690.8,0,30391.01,NA,NA,NA,41079.27,1116795.63,187519.95,560378.5,50606.29,NA,114964.58,62478.74,82986.82,7866.11
           Southwest Airlines Co.            ,2014-01-01T00:00:00Z,2,4181832,765449,4947281,13263,0,0,156685,22668,43721,0,3796,NA,NA,NA,15648,4691500,685673,2025078,325355,NA,389532,298334,214356,17383
              Spirit Air Lines               ,2014-01-01T00:00:00Z,2,348466.66,92947.42,441414.08,0,0,0,75117.94,71362.73,0,0,8347.25,NA,NA,NA,2710.13,283876.02,23368.8,214217.49,44526.09,0,23704.8,14801.06,17820.76,0
            United Air Lines Inc.            ,2014-01-01T00:00:00Z,2,5456731.26,459876.62,5916607.88,36992.3,0,19264.04,9052.79,81550.37,39932.49,0,100541.56,NA,NA,NA,2149801.09,3479473.23,700647.97,1662517.19,332223.7,NA,415040.31,237671.24,189279.33,1721603.51
            Alaska Airlines Inc.             ,2015-01-01T00:00:00Z,2,1022165,349767,1371932,2365,182,6695,32404,28432,21152,2522,25949,NA,NA,NA,292041,960190,134473,336454,79450,NA,62732,84419,59658,203484
           American Airlines Inc.            ,2015-01-01T00:00:00Z,2,3169692.61,778278.51,3947971.12,3133.52,0,1552.54,65207.85,97784.82,19163.5,0,96459.13,NA,NA,NA,743680.31,2920989.44,323814.77,1134068.32,374887.9,0,335733.74,257016.68,145112.3,459086.77
            Delta Air Lines Inc.             ,2015-01-01T00:00:00Z,2,5664900,1649180,7314080,31632,0,12465,365983,230691,61656,0,154611,NA,NA,NA,1806869,4650173,907299,1375411,472475,NA,472798,486271,424342,1225441
         Federal Express Corporation         ,2015-01-01T00:00:00Z,2,3677647,1126157,4803804,NA,1043,271,12628,NA,2437198,NA,NA,NA,NA,NA,2352664,NA,309401,679457,317363,NA,372393,NA,9517,1805478
               JetBlue Airways               ,2015-01-01T00:00:00Z,2,1109466.72,205782.62,1315249.33,79.26,0,0,6116.27,17607.25,3839.51,0,33053.74,NA,NA,NA,31824.31,1222728.99,212636.9,478671.57,52491.54,NA,130695.03,83335.01,83647.95,1230.87
           Southwest Airlines Co.            ,2015-01-01T00:00:00Z,2,3966193,1069029,5035222,11882,0,0,167610,11748,45599,0,0,NA,NA,NA,18431,4779952,725921,1656138,305470,NA,401253,387492,224440,21312
              Spirit Air Lines               ,2015-01-01T00:00:00Z,2,389289.28,110450.29,499739.57,0,0,0,122930.63,66096.2,0,0,10100.19,NA,NA,NA,0,300612.55,31000.3,209463.54,65924.35,0,27690.67,19552.8,20181.5,0
            United Air Lines Inc.            ,2015-01-01T00:00:00Z,2,4922754.71,835818.91,5758573.62,33518.75,0,25559.07,7547.87,86609.74,38323.87,0,102910.91,NA,NA,NA,1975301.39,3488802.01,751525.37,1294401.18,390455.49,NA,345894.83,280993.4,241036.89,1402480.97
            Alaska Airlines Inc.             ,2016-01-01T00:00:00Z,2,1024370,402418,1426788,2834,169,6285,34030,32921,19609,2527,27249,NA,NA,NA,325197,975967,136589,290110,74521,NA,69991,92811,65267,223018
           American Airlines Inc.            ,2016-01-01T00:00:00Z,2,5862859.76,1062926.3,6925786.07,14106.54,0,2381.31,40137.28,174051.16,20657.17,0,142069.71,NA,NA,NA,1697185.42,4835197.48,603914.77,1577942.82,623337.6,0,538004.84,445564.38,235810.09,1621537.56
            Delta Air Lines Inc.             ,2016-01-01T00:00:00Z,2,5741356,1643838,7385194,37466,0,5757,429174,232461,54487,0,146968,NA,NA,NA,1855695,4623186,980019,1301123,408171,NA,487100,532341,450942,1264135
         Federal Express Corporation         ,2016-01-01T00:00:00Z,2,3695548,1231227,4926775,NA,485,54,13315,NA,2437128,NA,NA,NA,NA,NA,2475793,NA,306352,624013,311383,NA,399519,NA,10346,1862276
               JetBlue Airways               ,2016-01-01T00:00:00Z,2,1103864.91,252202.2,1356067.11,100.69,0,0,5870.59,47054.97,6.94,0,28846.13,NA,NA,NA,43740.14,1230447.65,219912.65,398710.2,85270.52,NA,141986.49,91493.54,87757.57,373.49
           Southwest Airlines Co.            ,2016-01-01T00:00:00Z,2,4028910,1251327,5280237,11713,0,0,385617,11762,43674,0,0,NA,NA,NA,17120,4810351,773542,1555105,346964,NA,445291,342286,248173,24945
              Spirit Air Lines               ,2016-01-01T00:00:00Z,2,419304.61,110504.26,529808.87,0,0,0,122679.26,101255.3,0,0,10347.54,NA,NA,NA,1034.39,294492.38,37517.21,199763.65,81987.39,0,29540.02,25464.23,22395.87,0
            United Air Lines Inc.            ,2016-01-01T00:00:00Z,2,4848723.66,870316.24,5719039.9,42987.47,NA,18079.6,2451.21,91973.8,31231.83,NA,96464.12,NA,NA,NA,2085658.26,3350193.61,765088.92,1085991.35,405987.32,NA,404000.45,267477.5,243287.26,1238670.77
            Alaska Airlines Inc.             ,2017-01-01T00:00:00Z,2,1140401,445718,1586119,2868,154,9066,35861,35785,21200,2523,26727,NA,NA,NA,361687,1090248,156644,334374,75087,NA,83683,101521,85323,244933
           American Airlines Inc.            ,2017-01-01T00:00:00Z,2,6378360.75,1391511.51,7769872.26,3690.31,0,3208.11,47019.68,186150.16,26199.14,0,140843.47,NA,NA,NA,2270746.69,5092014.71,676902.59,1715766.57,760151.6,0,579006.49,478558.2,267224.64,1650514.13
            Delta Air Lines Inc.             ,2017-01-01T00:00:00Z,2,6270879,1451415,7722294,29070,0,11116,451258,237998,58345,0,150381,NA,NA,NA,1915956,4868170,1024311,1544348,418489,NA,527948,619239,486386,1284968
         Federal Express Corporation         ,2017-01-01T00:00:00Z,2,3851677,1373049,5224726,NA,909,43,26957,NA,2550308,NA,NA,NA,NA,NA,2646509,NA,304372,639820,323330,NA,416810,NA,11427,1967782
               JetBlue Airways               ,2017-01-01T00:00:00Z,2,1236569.69,251656.5,1488226.19,0,0,0,4736.2,58083.45,0,0,26707.33,NA,NA,NA,60628.51,1338070.69,242770.53,461627.44,85498.54,NA,167617.69,105782.86,83642.98,438.25
           Southwest Airlines Co.            ,2017-01-01T00:00:00Z,2,4385320,1219614,5604934,12135,0,0,415431,12000,43230,0,0,NA,NA,NA,15552,5106586,843017,1763297,359370,NA,415162,374221,283665,26496
              Spirit Air Lines               ,2017-01-01T00:00:00Z,2,520016.89,120027.33,640044.22,0,0,0,142977.09,115021.52,0,0,11939.17,NA,NA,NA,0,370106.44,43635.59,237066.67,109145.43,0,39705.87,30834.83,27335.67,0
            United Air Lines Inc.            ,2017-01-01T00:00:00Z,2,5098304.63,1072958.02,6171262.65,25025.93,NA,21718.22,5823.46,108099.41,41425.1,NA,90317.99,NA,NA,NA,2104109.94,3774742.6,912603.93,1221031.27,449036.56,NA,468100.78,350151.11,258288.11,1181048.67
            Alaska Airlines Inc.             ,2018-01-01T00:00:00Z,2,1810833,259162,2069995,3182,182,10189,22736,74065,23175,2806,44466,NA,NA,NA,368151,1521043,221718,678250,143195,NA,133976,128599,115679,314546
           American Airlines Inc.            ,2018-01-01T00:00:00Z,2,7054755.07,816500.5,7871255.57,2837.02,0,3447.56,438128.02,194829.78,23813.68,0,141125.36,NA,NA,NA,2020975.64,5046098.5,665752.56,2112012.19,818570.37,0,591030.93,511918.85,271852.86,1805899.27
            Delta Air Lines Inc.             ,2018-01-01T00:00:00Z,2,7277862,1064297,8342159,31292,0,15090,397882,148018,57093,0,132653,NA,NA,NA,2231517,5328614,972462,1943541,538533,NA,456358,592703,516884,1848099
         Federal Express Corporation         ,2018-01-01T00:00:00Z,2,4236380,1536821,5773201,NA,495,55,36726,NA,2841900,NA,NA,NA,NA,NA,2894025,NA,336855,746866,377264,NA,441194,NA,11244,2128682
           Southwest Airlines Co.            ,2018-01-01T00:00:00Z,2,4644422,945836,5590258,8117,0,0,472039,13062,43168,0,0,NA,NA,NA,20232,5033640,873789,1966358,339658,NA,466811,396399,284362,29414
              Spirit Air Lines               ,2018-01-01T00:00:00Z,2,670411.92,97886.08,768298,0,0,0,169768.49,145813.83,0,0,13438.22,NA,NA,NA,1702.34,437575.12,55996.33,354429.92,108110.85,0,42369.04,36790.67,31567.57,0
            United Air Lines Inc.            ,2018-01-01T00:00:00Z,2,5922866,766446.41,6689312.41,22818.98,NA,19419.8,1755.19,118031.24,42705.04,NA,88703.83,NA,NA,NA,2291919.6,4103958.73,1059490.32,1591647.44,465148.64,NA,471682.39,383671.8,304024.78,1376427.73
            Alaska Airlines Inc.             ,2019-01-01T00:00:00Z,2,1859174,348793,2207968,2386,225,11562,25468,81771,25422,2925,50099,NA,NA,NA,432361,1575748,225720,672435,129460,NA,145362,154087,107017,344371
           American Airlines Inc.            ,2019-01-01T00:00:00Z,2,7307628.99,885779.4,8193408.39,3552.27,0,3084.39,451640.61,217799.74,21043,0,129835.14,NA,NA,NA,2144108.57,5222344.68,665353,2132262.58,811462.74,0,645337.4,538564.48,283762.92,1934535.48
            Delta Air Lines Inc.             ,2019-01-01T00:00:00Z,2,7635158,1351099,8986257,47823,0,14349,571011,226922,45628,0,184559,NA,NA,NA,2035421,5860544,1125465,2006592,567198,NA,422089,666507,564356,1784846
         Federal Express Corporation         ,2019-01-01T00:00:00Z,2,4297502,1518806,5816308,NA,241,28,23672,NA,2825805,NA,NA,NA,NA,NA,2966562,NA,356852,728812,360076,NA,438847,NA,12449,2196941
               JetBlue Airways               ,2019-01-01T00:00:00Z,2,1442744.3,223669.34,1666413.65,0,0,0,5093.92,68436.75,5.35,0,37771.77,NA,NA,NA,59902.39,1495203.46,253949.59,612466.65,92997.88,NA,168008.01,127235.91,89136.62,445.51
           Southwest Airlines Co.            ,2019-01-01T00:00:00Z,2,4799108,940166,5739274,2783,0,0,527805,13353,43445,0,0,NA,NA,NA,35464,5116424,916091,1947217,381555,NA,533510,417262,280208,31100
              Spirit Air Lines               ,2019-01-01T00:00:00Z,2,746286.4,144101.82,890388.23,0,0,0,196503.41,171330.38,0,0,14248.63,NA,NA,NA,1964.7,506341.11,60667.73,384925.82,129197.87,0,45870.4,41666.85,35689.27,0
            United Air Lines Inc.            ,2019-01-01T00:00:00Z,2,6178351.21,908783.06,7087134.27,18796.19,NA,15920.91,2070.05,150588.54,48041.95,NA,89047.12,NA,NA,NA,2365684.79,4396984.74,1166726.48,1644534.47,457339.06,NA,478200.31,420645.34,338853.66,1404466
            Alaska Airlines Inc.             ,2000-01-01T00:00:00Z,2,35935,-1400,34535,NA,NA,228,71,113,466,NA,772,NA,843,579,NA,32885,5373,13060,2099,NA,4451,3005,6308,NA
           American Airlines Inc.            ,2000-01-01T00:00:00Z,2,643726,19108,662834,1995,NA,2241,5510,2123,36513,NA,NA,1995,5510,38636,29399,585053,118458,181856,24830,NA,83360,88854,94835,9003
            Delta Air Lines Inc.             ,2000-01-01T00:00:00Z,2,102990,12035,115025,614,NA,192,18,354,4761,NA,NA,614,18,5115,7516,101570,17163,32219,6349,NA,11134,12787,11701,5430
         Federal Express Corporation         ,2000-01-01T00:00:00Z,2,111887,38728,150615,NA,781,23,1709,NA,113288,NA,NA,781,1709,113288,34814,NA,18723,29127,10322,NA,12088,NA,5455,27372
            United Air Lines Inc.            ,2000-01-01T00:00:00Z,2,180208,16349,196557,2417,NA,1294,1755,270,12333,NA,10,2417,1765,12603,9366,169112,27608,54145,9672,NA,18496,27376,28165,5059
            Alaska Airlines Inc.             ,2001-01-01T00:00:00Z,2,36276,116,36392,NA,NA,270,131,109,422,NA,625,NA,756,531,NA,34835,5599,13665,2220,NA,4904,3151,4930,NA
           American Airlines Inc.            ,2001-01-01T00:00:00Z,2,701388,-32786,668602,1666,NA,2252,4704,1857,37780,NA,NA,1666,4704,39637,31269,589074,123363,197016,67979,NA,71119,89006,97161,11825
            Delta Air Lines Inc.             ,2001-01-01T00:00:00Z,2,146408,5606,152014,NA,NA,251,-387,415,7562,NA,NA,NA,-387,7977,10932,133241,26985,39099,9888,NA,14618,18383,17582,7090
         Federal Express Corporation         ,2001-01-01T00:00:00Z,2,121341,27792,149133,NA,85,20,2236,NA,106740,NA,NA,85,2236,106740,40052,NA,18250,34231,13905,NA,11018,NA,4207,33165
            United Air Lines Inc.            ,2001-01-01T00:00:00Z,2,211819,-21334,190485,1345,NA,1610,1717,262,7944,NA,12,1345,1729,8206,17414,160181,31538,63489,12125,NA,20496,28439,32498,13449
            Alaska Airlines Inc.             ,2002-01-01T00:00:00Z,2,37598,-1271,36327,NA,NA,206,9,149,527,NA,724,NA,733,676,NA,34712,6369,12652,2004,NA,4454,3840,6076,NA
            Delta Air Lines Inc.             ,2002-01-01T00:00:00Z,2,157808,-15651,142157,NA,NA,719,-3205,394,6740,NA,-537,NA,-3742,7134,11568,126478,26830,53955,10656,NA,13713,16225,15851,6854
         Federal Express Corporation         ,2002-01-01T00:00:00Z,2,115795,49484,165279,NA,NA,23,2481,NA,118037,NA,NA,NA,2481,118037,44738,NA,18589,28151,18030,NA,9422,NA,4421,32408
            United Air Lines Inc.            ,2002-01-01T00:00:00Z,2,155890,-34143,121747,495,NA,717,1182,153,4888,NA,14,495,1196,5041,13953,100345,23889,47368,8572,NA,15590,24344,16268,10673
            Alaska Airlines Inc.             ,2003-01-01T00:00:00Z,2,37076,931,38007,NA,NA,304,45,177,610,NA,787,NA,832,787,NA,36084,5554,13886,1769,NA,4726,3903,4958,NA
           American Airlines Inc.            ,2003-01-01T00:00:00Z,2,595776,2843,598619,309,NA,2313,2899,2117,29785,NA,NA,309,2899,31902,81543,479653,112450,164338,33421,NA,60988,74988,54879,54202
            Delta Air Lines Inc.             ,2003-01-01T00:00:00Z,2,146508,-4294,142214,NA,NA,295,-3177,226,7024,NA,664,NA,-2513,7250,13392,123790,23110,48968,10110,NA,12536,13137,12502,13933
         Federal Express Corporation         ,2003-01-01T00:00:00Z,2,126620,42785,169405,NA,NA,54,3698,NA,114948,NA,NA,NA,3698,114948,50705,NA,15842,25043,29514,NA,8804,NA,4205,38967
            United Air Lines Inc.            ,2003-01-01T00:00:00Z,2,124485,-26368,98117,268,NA,578,1080,336,8408,NA,19,268,1099,8744,9101,78327,20523,38275,6347,NA,14251,18363,10148,7888
            Alaska Airlines Inc.             ,2004-01-01T00:00:00Z,2,35765,10744,46509,NA,NA,497,217,285,468,NA,767,NA,984,753,NA,44275,3077,17048,1803,NA,4219,3013,4351,NA
           American Airlines Inc.            ,2004-01-01T00:00:00Z,2,678357,53414,731771,508,NA,2628,3783,2399,34341,NA,NA,508,3783,36740,108824,579288,121886,209271,24002,NA,73908,77115,63486,71042
         Federal Express Corporation         ,2004-01-01T00:00:00Z,2,108107,-1163,106944,NA,NA,37,5735,NA,68290,NA,NA,NA,5735,68290,32882,NA,18199,26066,11289,NA,9053,NA,5291,34812
            United Air Lines Inc.            ,2004-01-01T00:00:00Z,2,104212,-4246,99966,114,NA,662,897,270,7105,NA,26,114,923,7375,5273,85619,16174,36200,4485,NA,11644,15535,10295,4126
            Alaska Airlines Inc.             ,2005-01-01T00:00:00Z,2,39590,6513,46103,86,NA,580,238,244,1210,143,667,86,905,1454,2190,40745,3257,19305,3164,NA,5046,3014,3622,NA
           American Airlines Inc.            ,2005-01-01T00:00:00Z,2,833757,3475,837232,97,NA,3413,3675,3003,34177,NA,NA,97,3675,37180,129527,663340,143970,294194,42493,NA,73498,85424,64846,93378
            Delta Air Lines Inc.             ,2005-01-01T00:00:00Z,2,198624,-730,197894,NA,NA,83,-3505,218,10673,NA,768,NA,-2737,10891,18670,170987,26893,80016,10783,NA,16119,15259,13839,19122
         Federal Express Corporation         ,2005-01-01T00:00:00Z,2,105233,50915,156148,NA,NA,25,654,NA,107494,NA,NA,NA,654,107494,47975,NA,18866,25376,9452,NA,10288,NA,3624,34605
               JetBlue Airways               ,2005-01-01T00:00:00Z,2,5860.64,-321.44,5539.21,NA,NA,NA,NA,13.31,NA,NA,90.92,NA,90.92,13.31,118.38,5316.59,1052.32,2584.44,392.42,NA,468.33,438.89,469.05,39.3
            Alaska Airlines Inc.             ,2006-01-01T00:00:00Z,2,46290,10338,56628,68,NA,628,418,287,1304,144,886,68,1304,1591,2849,50044,3528,23034,2973,NA,5785,3675,4368,NA
           American Airlines Inc.            ,2006-01-01T00:00:00Z,2,905474,69512,974986,775,NA,3014,3883,4668,43657,NA,NA,775,3883,48325,158067,760922,145495,345361,38749,NA,86910,83643,67221,101496
         Federal Express Corporation         ,2006-01-01T00:00:00Z,2,143039,45369,188408,NA,NA,32,685,NA,141619,NA,NA,NA,685,141619,46072,NA,33722,34386,15325,NA,13908,NA,3967,37832
              Spirit Air Lines               ,2006-01-01T00:00:00Z,2,22654.21,-705.44,21948.77,NA,NA,19.86,701.01,NA,13.24,NA,NA,NA,701.01,13.24,NA,21214.67,3721.06,13160.96,709.41,NA,1825.86,1049,1771.99,NA
            United Air Lines Inc.            ,2006-01-01T00:00:00Z,2,146899,-5094,141805,NA,NA,973,808,887,6114,NA,1428,NA,2236,7001,12184,119411,25569,59574,9184,NA,15626,13832,11271,5224
            Alaska Airlines Inc.             ,2007-01-01T00:00:00Z,2,49304,12892,62196,59,NA,629,512,310,1275,134,1054,59,1566,1585,7702,50521,5996,24594,2530,NA,4682,3803,3892,NA
           American Airlines Inc.            ,2007-01-01T00:00:00Z,2,928072,68445,996517,505,NA,3545,3461,5043,42960,NA,NA,505,3461,48003,156231,784772,146039,347092,37920,NA,94008,87171,67231,109716
            Delta Air Lines Inc.             ,2007-01-01T00:00:00Z,2,349345,-4455,344890,NA,NA,243,5563,192,10660,NA,1440,NA,7003,10852,35962,290830,36147,128550,26451,NA,34742,18921,22712,53866
         Federal Express Corporation         ,2007-01-01T00:00:00Z,2,140633,77054,217687,NA,NA,22,894,NA,149487,NA,NA,NA,894,149487,67284,NA,22240,34732,23067,NA,12830,NA,5548,38154
              Spirit Air Lines               ,2007-01-01T00:00:00Z,2,42325,1993,44318,NA,NA,NA,3741,NA,NA,NA,NA,NA,3741,NA,NA,40577,6801,25769,2690,NA,2249,1813,2668,NA
            United Air Lines Inc.            ,2007-01-01T00:00:00Z,2,128352,5746,134098,NA,NA,1242,641,494,6359,NA,-458,NA,183,6853,8039,117781,20487,54432,7036,NA,16262,13068,8949,2228
            Alaska Airlines Inc.             ,2008-01-01T00:00:00Z,2,57370,4931,62301,90,NA,654,545,320,1368,128,1207,90,1752,1688,7755,50234,3710,33914,3379,NA,5150,3704,4112,NA
         Federal Express Corporation         ,2008-01-01T00:00:00Z,2,167583,62192,229775,NA,NA,23,806,NA,158312,NA,NA,NA,806,158312,70634,NA,26048,50449,17522,NA,13453,NA,3168,52391
              Spirit Air Lines               ,2008-01-01T00:00:00Z,2,41589,6689,48278,NA,NA,NA,6031,NA,NA,NA,1225,NA,7256,NA,NA,41022,6717,25222,1695,NA,2918,2055,2765,NA
            Alaska Airlines Inc.             ,2009-01-01T00:00:00Z,2,41688,-4030,37658,123,NA,NA,204,386,158,NA,947,123,1151,544,NA,35840,3068,19826,3320,NA,5813,3254,2878,NA
